hostname,mgmt_ip,site_code,site_name,country_code,country_id,site_id,role,os,port_count,users_served
ushun-sw-01,10.1.1.1/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-02,10.1.1.2/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-03,10.1.1.3/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-04,10.1.1.4/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-05,10.1.1.5/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-06,10.1.1.6/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-07,10.1.1.7/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-08,10.1.1.8/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-09,10.1.1.9/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-10,10.1.1.10/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-11,10.1.1.11/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-12,10.1.1.12/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-13,10.1.1.13/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-14,10.1.1.14/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-15,10.1.1.15/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-16,10.1.1.16/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-17,10.1.1.17/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-18,10.1.1.18/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-19,10.1.1.19/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-20,10.1.1.20/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-21,10.1.1.21/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-22,10.1.1.22/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-23,10.1.1.23/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-24,10.1.1.24/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-25,10.1.1.25/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-26,10.1.1.26/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-27,10.1.1.27/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-28,10.1.1.28/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-29,10.1.1.29/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-30,10.1.1.30/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-31,10.1.1.31/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-32,10.1.1.32/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-33,10.1.1.33/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-34,10.1.1.34/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-35,10.1.1.35/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-36,10.1.1.36/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-37,10.1.1.37/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-38,10.1.1.38/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-39,10.1.1.39/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-40,10.1.1.40/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-41,10.1.1.41/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-42,10.1.1.42/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-43,10.1.1.43/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-44,10.1.1.44/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-45,10.1.1.45/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
ushun-sw-46,10.1.1.46/32,us-huntsville,"Huntsville, Alabama",us,1,1,sw,IOS-XE,48,24
