mac,endpoint_identity_group,description
02:00:01:00:00:01,Phones,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:01:00:00:02,Phones,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:01:00:00:03,Phones,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:01:00:00:04,Phones,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:01:00:00:05,Phones,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:01:00:00:06,Phones,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:01:00:00:07,Phones,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:01:00:00:08,Phones,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:01:00:00:09,Phones,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:01:00:00:0a,Phones,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:02:00:00:01,AP,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:02:00:00:02,AP,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:02:00:00:03,AP,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:02:00:00:04,AP,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:02:00:00:05,AP,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:02:00:00:06,AP,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:02:00:00:07,AP,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:02:00:00:08,AP,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:02:00:00:09,AP,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:02:00:00:0a,AP,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:03:00:00:01,Printers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:03:00:00:02,Printers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:03:00:00:03,Printers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:03:00:00:04,Printers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:03:00:00:05,Printers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:03:00:00:06,Printers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:03:00:00:07,Printers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:03:00:00:08,Printers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:03:00:00:09,Printers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:03:00:00:0a,Printers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:04:00:00:01,TVs,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:04:00:00:02,TVs,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:04:00:00:03,TVs,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:04:00:00:04,TVs,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:04:00:00:05,TVs,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:04:00:00:06,TVs,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:04:00:00:07,TVs,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:04:00:00:08,TVs,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:04:00:00:09,TVs,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:04:00:00:0a,TVs,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:05:00:00:01,Badge_Readers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:05:00:00:02,Badge_Readers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:05:00:00:03,Badge_Readers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:05:00:00:04,Badge_Readers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:05:00:00:05,Badge_Readers,Lab MAC. Locally administered unicast (02). Not hardware.
02:00:05:00:00:06,Badge_Readers,Lab MAC. Locally administered unicast (02). Not hardware.
