mac,endpoint_identity_group,oui,organization,description,desk,switch,port,site
00:04:F2:67:5C:B9,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000001,ushun-sw-01,Gi1/0/1,us-huntsville
10:E7:C6:0C:3A:0A,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000001,ushun-sw-01,Gi1/0/1,us-huntsville
00:04:F2:56:BA:99,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000002,ushun-sw-01,Gi1/0/2,us-huntsville
10:E7:C6:6E:61:E7,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000002,ushun-sw-01,Gi1/0/2,us-huntsville
00:04:F2:D3:F9:45,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000003,ushun-sw-01,Gi1/0/3,us-huntsville
10:E7:C6:B2:FA:C5,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000003,ushun-sw-01,Gi1/0/3,us-huntsville
00:04:F2:B7:1C:FA,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000004,ushun-sw-01,Gi1/0/4,us-huntsville
10:E7:C6:BE:22:E8,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000004,ushun-sw-01,Gi1/0/4,us-huntsville
00:04:F2:2D:E2:37,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000005,ushun-sw-01,Gi1/0/5,us-huntsville
10:E7:C6:0B:1E:AF,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000005,ushun-sw-01,Gi1/0/5,us-huntsville
00:04:F2:19:6C:D3,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000006,ushun-sw-02,Gi1/0/1,us-huntsville
10:E7:C6:12:98:0C,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000006,ushun-sw-02,Gi1/0/1,us-huntsville
00:04:F2:4B:2B:49,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000007,ushun-sw-02,Gi1/0/2,us-huntsville
10:E7:C6:B5:74:4A,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000007,ushun-sw-02,Gi1/0/2,us-huntsville
00:04:F2:8D:B0:AB,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000008,ushun-sw-02,Gi1/0/3,us-huntsville
10:E7:C6:A0:A6:25,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000008,ushun-sw-02,Gi1/0/3,us-huntsville
00:04:F2:0E:C2:9E,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000009,ushun-sw-02,Gi1/0/4,us-huntsville
10:E7:C6:5A:BE:86,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000009,ushun-sw-02,Gi1/0/4,us-huntsville
00:04:F2:23:CC:47,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000010,ushun-sw-02,Gi1/0/5,us-huntsville
10:E7:C6:DD:A1:5F,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000010,ushun-sw-02,Gi1/0/5,us-huntsville
00:04:F2:DC:0D:23,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000011,ushun-sw-03,Gi1/0/1,us-huntsville
10:E7:C6:48:8F:88,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000011,ushun-sw-03,Gi1/0/1,us-huntsville
00:04:F2:7A:A2:23,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000012,ushun-sw-03,Gi1/0/2,us-huntsville
10:E7:C6:92:93:F9,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000012,ushun-sw-03,Gi1/0/2,us-huntsville
00:04:F2:B4:AB:46,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000013,ushun-sw-03,Gi1/0/3,us-huntsville
10:E7:C6:9F:DD:42,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000013,ushun-sw-03,Gi1/0/3,us-huntsville
00:04:F2:D0:E4:9E,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000014,ushun-sw-03,Gi1/0/4,us-huntsville
10:E7:C6:4F:3B:B1,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000014,ushun-sw-03,Gi1/0/4,us-huntsville
00:04:F2:32:85:AC,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000015,ushun-sw-03,Gi1/0/5,us-huntsville
10:E7:C6:B6:7C:8B,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000015,ushun-sw-03,Gi1/0/5,us-huntsville
00:04:F2:50:F5:A3,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000016,ushun-sw-04,Gi1/0/1,us-huntsville
10:E7:C6:B2:F6:B5,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000016,ushun-sw-04,Gi1/0/1,us-huntsville
00:04:F2:7E:73:6E,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000017,ushun-sw-04,Gi1/0/2,us-huntsville
10:E7:C6:63:6B:B4,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000017,ushun-sw-04,Gi1/0/2,us-huntsville
00:04:F2:72:62:16,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000018,ushun-sw-04,Gi1/0/3,us-huntsville
10:E7:C6:E8:18:F3,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000018,ushun-sw-04,Gi1/0/3,us-huntsville
00:04:F2:A9:FA:26,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000019,ushun-sw-04,Gi1/0/4,us-huntsville
10:E7:C6:C5:8B:A9,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000019,ushun-sw-04,Gi1/0/4,us-huntsville
00:04:F2:C1:CD:2E,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000020,ushun-sw-04,Gi1/0/5,us-huntsville
10:E7:C6:E6:55:DA,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000020,ushun-sw-04,Gi1/0/5,us-huntsville
00:04:F2:EF:38:BF,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000021,ushun-sw-05,Gi1/0/1,us-huntsville
10:E7:C6:C1:2B:EB,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000021,ushun-sw-05,Gi1/0/1,us-huntsville
00:04:F2:28:44:B2,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000022,ushun-sw-05,Gi1/0/2,us-huntsville
10:E7:C6:A5:42:B7,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000022,ushun-sw-05,Gi1/0/2,us-huntsville
00:04:F2:4D:D9:12,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000023,ushun-sw-05,Gi1/0/3,us-huntsville
10:E7:C6:3B:89:AF,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000023,ushun-sw-05,Gi1/0/3,us-huntsville
00:04:F2:F3:E9:CA,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000024,ushun-sw-05,Gi1/0/4,us-huntsville
10:E7:C6:10:82:AB,Windows,10:E7:C6,Hewlett Packard,Generated. Not hardware. IEEE MA-L.,desk-000024,ushun-sw-05,Gi1/0/4,us-huntsville
00:04:F2:FB:76:BB,Phones,00:04:F2,Polycom,Generated. Not hardware. IEEE MA-L.,desk-000025,ushun-sw-05,Gi1/0/5,us-huntsville
