hostname,mgmt_ip,site_code,site_name,country_code,role,type,os,port_count
ushou-sw-01,192.0.2.1/32,us-houston,"Houston, Texas",us,sw,access,IOS-XE,48
ushou-sw-02,192.0.2.2/32,us-houston,"Houston, Texas",us,sw,access,IOS-XE,48
ushou-sw-03,192.0.2.3/32,us-houston,"Houston, Texas",us,sw,access,IOS-XE,48
ushou-sw-04,192.0.2.4/32,us-houston,"Houston, Texas",us,sw,access,IOS-XE,48
usdal-sw-01,192.0.2.11/32,us-dallas,"Dallas, Texas",us,sw,access,IOS-XE,48
usdal-sw-02,192.0.2.12/32,us-dallas,"Dallas, Texas",us,sw,access,IOS-XE,48
usdal-sw-03,192.0.2.13/32,us-dallas,"Dallas, Texas",us,sw,access,IOS-XE,48
usdal-sw-04,192.0.2.14/32,us-dallas,"Dallas, Texas",us,sw,access,IOS-XE,48
ussea-sw-01,198.51.100.1/32,us-seattle,"Seattle, Washington",us,sw,access,IOS-XE,48
ussea-sw-02,198.51.100.2/32,us-seattle,"Seattle, Washington",us,sw,access,IOS-XE,48
ussea-sw-03,198.51.100.3/32,us-seattle,"Seattle, Washington",us,sw,access,IOS-XE,48
uschi-sw-01,198.51.100.11/32,us-chicago,"Chicago, Illinois",us,sw,access,IOS-XE,48
uschi-sw-02,198.51.100.12/32,us-chicago,"Chicago, Illinois",us,sw,access,IOS-XE,48
uschi-sw-03,198.51.100.13/32,us-chicago,"Chicago, Illinois",us,sw,access,IOS-XE,48
uspdx-sw-01,198.51.100.21/32,us-portland-or,"Portland, Oregon",us,sw,access,IOS-XE,48
uspdx-sw-02,198.51.100.22/32,us-portland-or,"Portland, Oregon",us,sw,access,IOS-XE,48
uspdx-sw-03,198.51.100.23/32,us-portland-or,"Portland, Oregon",us,sw,access,IOS-XE,48
usmil-sw-01,198.51.100.31/32,us-milwaukee,"Milwaukee, Wisconsin",us,sw,access,IOS-XE,48
usmil-sw-02,198.51.100.32/32,us-milwaukee,"Milwaukee, Wisconsin",us,sw,access,IOS-XE,48
usmil-sw-03,198.51.100.33/32,us-milwaukee,"Milwaukee, Wisconsin",us,sw,access,IOS-XE,48
gblon-sw-01,203.0.113.1/32,gb-london,"London, England",gb,sw,access,IOS-XE,48
gblon-sw-02,203.0.113.2/32,gb-london,"London, England",gb,sw,access,IOS-XE,48
gblon-sw-03,203.0.113.3/32,gb-london,"London, England",gb,sw,access,IOS-XE,48
deber-sw-01,203.0.113.11/32,de-berlin,"Berlin, Berlin",de,sw,access,IOS-XE,48
deber-sw-02,203.0.113.12/32,de-berlin,"Berlin, Berlin",de,sw,access,IOS-XE,48
deber-sw-03,203.0.113.13/32,de-berlin,"Berlin, Berlin",de,sw,access,IOS-XE,48
jptyo-sw-01,203.0.113.21/32,jp-tokyo,"Tokyo, Tokyo",jp,sw,access,IOS-XE,48
jptyo-sw-02,203.0.113.22/32,jp-tokyo,"Tokyo, Tokyo",jp,sw,access,IOS-XE,48
jptyo-sw-03,203.0.113.23/32,jp-tokyo,"Tokyo, Tokyo",jp,sw,access,IOS-XE,48
