mac,endpoint_identity_group,oui,organization,description,desk,switch,port,site
00:04:F2:43:1E:78,Phones,00:04:F2,Polycom,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:04:F2 (Polycom).,,,,
00:04:F2:03:A6:F5,Phones,00:04:F2,Polycom,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:04:F2 (Polycom).,,,,
00:04:F2:F1:79:CD,Phones,00:04:F2,Polycom,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:04:F2 (Polycom).,,,,
00:04:F2:F5:30:FA,Phones,00:04:F2,Polycom,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:04:F2 (Polycom).,,,,
00:04:F2:24:1B:9C,Phones,00:04:F2,Polycom,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:04:F2 (Polycom).,,,,
00:04:F2:40:B6:AD,Phones,00:04:F2,Polycom,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:04:F2 (Polycom).,,,,
00:04:F2:11:56:F6,Phones,00:04:F2,Polycom,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:04:F2 (Polycom).,,,,
00:04:F2:A7:49:A9,Phones,00:04:F2,Polycom,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:04:F2 (Polycom).,,,,
00:04:F2:BB:C3:DB,Phones,00:04:F2,Polycom,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:04:F2 (Polycom).,,,,
00:04:F2:52:85:B7,Phones,00:04:F2,Polycom,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 00:04:F2 (Polycom).,,,,
9C:E3:30:9E:BC:53,AP,9C:E3:30,Cisco Meraki,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 9C:E3:30 (Cisco Meraki).,,,,
9C:E3:30:7E:B7:ED,AP,9C:E3:30,Cisco Meraki,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 9C:E3:30 (Cisco Meraki).,,,,
9C:E3:30:43:DA:43,AP,9C:E3:30,Cisco Meraki,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 9C:E3:30 (Cisco Meraki).,,,,
9C:E3:30:8C:9C:13,AP,9C:E3:30,Cisco Meraki,Stellar Express sample MAC. Not hardware. IEEE MA-L OUI 9C:E3:30 (Cisco Meraki).,,,,
