id,city,admin1,cc,type
us-huntsville,Huntsville,Alabama,us,regional
us-anchorage,Anchorage,Alaska,us,regional
us-phoenix,Phoenix,Arizona,us,regional
us-little-rock,Little Rock,Arkansas,us,regional
us-los-angeles,Los Angeles,California,us,regional
us-denver,Denver,Colorado,us,regional
us-bridgeport,Bridgeport,Connecticut,us,regional
us-wilmington-de,Wilmington,Delaware,us,regional
us-jacksonville,Jacksonville,Florida,us,regional
us-atlanta,Atlanta,Georgia,us,regional
us-honolulu,Honolulu,Hawaii,us,regional
us-boise,Boise,Idaho,us,regional
us-chicago,Chicago,Illinois,us,regional
us-indianapolis,Indianapolis,Indiana,us,regional
us-des-moines,Des Moines,Iowa,us,regional
us-wichita,Wichita,Kansas,us,regional
us-louisville,Louisville,Kentucky,us,regional
us-new-orleans,New Orleans,Louisiana,us,regional
us-portland-me,Portland,Maine,us,regional
us-baltimore,Baltimore,Maryland,us,regional
us-boston,Boston,Massachusetts,us,regional
us-detroit,Detroit,Michigan,us,regional
us-minneapolis,Minneapolis,Minnesota,us,regional
us-jackson,Jackson,Mississippi,us,regional
us-kansas-city-mo,Kansas City,Missouri,us,regional
us-billings,Billings,Montana,us,regional
us-omaha,Omaha,Nebraska,us,regional
us-las-vegas,Las Vegas,Nevada,us,regional
us-manchester,Manchester,New Hampshire,us,regional
us-newark,Newark,New Jersey,us,regional
us-albuquerque,Albuquerque,New Mexico,us,regional
us-new-york,New York,New York,us,regional
us-charlotte,Charlotte,North Carolina,us,regional
us-fargo,Fargo,North Dakota,us,regional
us-columbus-oh,Columbus,Ohio,us,regional
us-oklahoma-city,Oklahoma City,Oklahoma,us,regional
us-portland-or,Portland,Oregon,us,regional
us-philadelphia,Philadelphia,Pennsylvania,us,regional
us-providence,Providence,Rhode Island,us,regional
us-charleston-sc,Charleston,South Carolina,us,regional
us-sioux-falls,Sioux Falls,South Dakota,us,regional
us-nashville,Nashville,Tennessee,us,regional
us-houston,Houston,Texas,us,regional
us-salt-lake-city,Salt Lake City,Utah,us,regional
us-burlington,Burlington,Vermont,us,regional
us-virginia-beach,Virginia Beach,Virginia,us,regional
us-seattle,Seattle,Washington,us,regional
us-charleston-wv,Charleston,West Virginia,us,regional
us-milwaukee,Milwaukee,Wisconsin,us,regional
us-cheyenne,Cheyenne,Wyoming,us,regional
us-abilene,Abilene,Texas,us,branch
us-akron,Akron,Ohio,us,branch
us-alexandria,Alexandria,Virginia,us,branch
us-allen,Allen,Texas,us,branch
us-allentown,Allentown,Pennsylvania,us,branch
us-amarillo,Amarillo,Texas,us,branch
us-anaheim,Anaheim,California,us,branch
us-ann-arbor,Ann Arbor,Michigan,us,branch
us-antioch,Antioch,California,us,branch
us-arlington,Arlington,Texas,us,branch
us-arvada,Arvada,Colorado,us,branch
us-athens,Athens,Georgia,us,branch
us-augusta,Augusta,Georgia,us,branch
us-aurora-co,Aurora,Colorado,us,branch
us-aurora-il,Aurora,Illinois,us,branch
us-austin,Austin,Texas,us,branch
us-bakersfield,Bakersfield,California,us,branch
us-baton-rouge,Baton Rouge,Louisiana,us,branch
us-beaumont,Beaumont,Texas,us,branch
us-bellevue,Bellevue,Washington,us,branch
us-berkeley,Berkeley,California,us,branch
us-birmingham,Birmingham,Alabama,us,branch
us-broken-arrow,Broken Arrow,Oklahoma,us,branch
us-brownsville,Brownsville,Texas,us,branch
us-buckeye,Buckeye,Arizona,us,branch
us-buffalo,Buffalo,New York,us,branch
us-cambridge,Cambridge,Massachusetts,us,branch
us-cape-coral,Cape Coral,Florida,us,branch
us-carlsbad,Carlsbad,California,us,branch
us-carrollton,Carrollton,Texas,us,branch
us-cary,Cary,North Carolina,us,branch
us-cedar-rapids,Cedar Rapids,Iowa,us,branch
us-chandler,Chandler,Arizona,us,branch
us-chattanooga,Chattanooga,Tennessee,us,branch
us-chesapeake,Chesapeake,Virginia,us,branch
us-chula-vista,Chula Vista,California,us,branch
us-cincinnati,Cincinnati,Ohio,us,branch
us-clarksville,Clarksville,Tennessee,us,branch
us-clearwater,Clearwater,Florida,us,branch
us-cleveland,Cleveland,Ohio,us,branch
us-clovis,Clovis,California,us,branch
us-college-station,College Station,Texas,us,branch
us-colorado-springs,Colorado Springs,Colorado,us,branch
us-columbia-mo,Columbia,Missouri,us,branch
us-columbia-sc,Columbia,South Carolina,us,branch
us-columbus-ga,Columbus,Georgia,us,branch
us-concord-ca,Concord,California,us,branch
us-concord-nc,Concord,North Carolina,us,branch
us-conroe,Conroe,Texas,us,branch
us-coral-springs,Coral Springs,Florida,us,branch
us-corona,Corona,California,us,branch
us-corpus-christi,Corpus Christi,Texas,us,branch
us-dallas,Dallas,Texas,us,branch
us-davie,Davie,Florida,us,branch
us-dayton,Dayton,Ohio,us,branch
us-denton,Denton,Texas,us,branch
us-durham,Durham,North Carolina,us,branch
us-edinburg,Edinburg,Texas,us,branch
us-el-paso,El Paso,Texas,us,branch
us-elgin,Elgin,Illinois,us,branch
us-elizabeth,Elizabeth,New Jersey,us,branch
us-elk-grove,Elk Grove,California,us,branch
us-escondido,Escondido,California,us,branch
us-eugene,Eugene,Oregon,us,branch
us-evansville,Evansville,Indiana,us,branch
us-everett,Everett,Washington,us,branch
us-fairfield,Fairfield,California,us,branch
us-fayetteville,Fayetteville,North Carolina,us,branch
us-fontana,Fontana,California,us,branch
us-fort-collins,Fort Collins,Colorado,us,branch
