order,name,identity_group,ndg,command_set,shell_profile,time_bound
1,auditor-external-access-marketing,auditor-external,access-marketing,auditor_external,auditor_external,yes
2,auditor-external-access-hr,auditor-external,access-hr,auditor_external,auditor_external,yes
3,auditor-external-access-ceo,auditor-external,access-ceo,auditor_external,auditor_external,yes
4,auditor-external-access-sourcecode,auditor-external,access-sourcecode,auditor_external,auditor_external,yes
5,auditor-internal-access-marketing,auditor-internal,access-marketing,auditor_internal,auditor_internal,no
6,auditor-internal-access-hr,auditor-internal,access-hr,auditor_internal,auditor_internal,no
7,auditor-internal-access-ceo,auditor-internal,access-ceo,auditor_internal,auditor_internal,no
8,auditor-internal-access-sourcecode,auditor-internal,access-sourcecode,auditor_internal,auditor_internal,no
9,vendor-access-marketing,vendor,access-marketing,vendor,vendor,yes
10,vendor-access-hr,vendor,access-hr,vendor,vendor,yes
11,vendor-access-ceo,vendor,access-ceo,vendor,vendor,yes
12,vendor-access-sourcecode,vendor,access-sourcecode,vendor,vendor,yes
13,contractor-access-marketing,contractor,access-marketing,contractor,contractor,no
14,contractor-access-hr,contractor,access-hr,contractor,contractor,no
15,contractor-access-ceo,contractor,access-ceo,contractor,contractor,no
16,contractor-access-sourcecode,contractor,access-sourcecode,contractor,contractor,no
17,t4-access-marketing,T4,access-marketing,T4,T4,no
18,t4-access-hr,T4,access-hr,T4,T4,no
19,t4-access-ceo,T4,access-ceo,T4,T4,no
20,t4-access-sourcecode,T4,access-sourcecode,T4,T4,no
21,t3-access-marketing,T3,access-marketing,T3,T3,no
22,t3-access-hr,T3,access-hr,T3,T3,no
23,t3-access-ceo,T3,access-ceo,T3,T3,no
24,t2-access-marketing,T2,access-marketing,T2,T2,no
25,t2-access-hr,T2,access-hr,T2,T2,no
26,t1-access-marketing,T1,access-marketing,T1,T1,no
